# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
30.02418547,-49.81799197,7.42421936,-2.48785635,0.13659823,1.58237400,1.58237400
30.12426609,-49.89726891,7.36262621,-2.47422234,0.13692097,1.58237400,1.58237400
30.22434671,-49.97570726,7.29994242,-2.46045008,0.13832949,1.58237400,1.58237400
30.32442732,-50.05327767,7.23617286,-2.44653414,0.13979157,1.58237400,1.58237400
30.42450794,-50.12995075,7.17132245,-2.43246922,0.14130605,1.58237400,1.58237400
30.52458856,-50.20569716,7.10539607,-2.41825014,0.14287164,1.58237400,1.58237400
30.62466918,-50.28048753,7.03839862,-2.40387186,0.14448694,1.58237400,1.58237400
30.72474980,-50.35429249,6.97033500,-2.38932946,0.14615040,1.58237400,1.58237400
30.82483041,-50.42708267,6.90121009,-2.37461821,0.14786033,1.58237400,1.58237400
30.92491103,-50.49882871,6.83102880,-2.35973355,0.14961489,1.58237400,1.58237400
